,mae,srcc,plcc,p-val,best2,best4,epoch,path json,path py
6,4.017153263092041,0.9378114342689514,0.946203887462616,0.00000,0.9372324347496033,0.9368083477020264,49,Tres_zkoniq10k_1639232532169586603.json,eval_zkoniq10k.py
7,4.122500419616699,0.9346535205841064,0.9415643215179443,0.00000,0.9346473217010498,0.9340577721595764,40,Tres_zkoniq10k_8687082370129089025.json,eval_zkoniq10k.py
5,4.131799697875977,0.9328629374504089,0.9384597539901733,0.00000,0.931620180606842,0.9296903610229492,20,Tres_zkoniq10k_922265847976975003.json,zkoniq10k_org_best_v2_1_lr1.py
3,14.448751449584961,0.9322234392166138,0.9396938681602478,0.00000,0.9313684105873108,0.9305917024612427,25,Tres_zkoniq10k_2293613683595273769.json,zkoniq10k_org_convnext_tiny_1.py
4,4.365446090698242,0.9319077134132385,0.9401959776878357,0.00000,0.9308905005455017,0.9299029111862183,60,Tres_zkoniq10k_1633865228056784457.json,zkoniq10k_org_convnext_tiny_1_dr01.py
2,4.213057518005371,0.9318116903305054,0.9404233694076538,0.00000,0.9291511178016663,0.928547203540802,30,Tres_zkoniq10k_1950844083877755176.json,zkoniq10k_org_convnext_tiny_1_pdml.py
1,4.337048053741455,0.9300364255905151,0.9371266961097717,0.00000,0.9297081232070923,0.9244170188903809,10,Tres_zkoniq10k_9156485332029622735.json,zkoniq10k_org_best_v2_1.py
0,6.096959114074707,0.9128361344337463,0.9205214381217957,0.00001,0.9085835218429565,0.9038620591163635,10,Tres_zkoniq10k_8936437093935928360.json,zkoniq10k_org_best_v2_1 copy.py
