,mae,srcc,plcc,p-val,best2,best4,epoch,path json,path py
15,17.179224014282227,0.8814078569412231,0.9112544059753418,0.00010,0.8753078579902649,0.8732302188873291,110,Tres_clive_9167171318013592165.json,org_dtl_3.py
40,18.251548767089844,0.8804649114608765,0.9153117537498474,0.00011,0.8800768852233887,0.8769670724868774,150,Tres_clive_264027169157116988.json,org_dml_3.py
130,6.962971210479736,0.8788777589797974,0.9108089208602905,0.00014,0.8735024929046631,0.8718147873878479,149,Tres_clive_5737971961030844966.json,org_dropout01_3.py
98,6.821192741394043,0.8783237338066101,0.9054829478263855,0.00015,0.8778588771820068,0.8718223571777344,250,Tres_clive_2021199772074146574.json,org_best_3.py
133,14.422087669372559,0.8772298693656921,0.9099985957145691,0.00018,0.868130087852478,0.8653210401535034,110,Tres_clive_752651412982040348.json,org_dml_3.py
28,16.067310333251953,0.8760743737220764,0.9128891825675964,0.00022,0.8717379570007324,0.8675001859664917,149,Tres_clive_644109769722506659.json,org_npe_f_3.py
95,6.001004219055176,0.875289797782898,0.9068491458892822,0.00024,0.868966817855835,0.8676908612251282,70,Tres_clive_2195870764671500902.json,org_best_v2_3.py
17,17.387596130371094,0.8722360134124756,0.9086305499076843,0.00041,0.8674384951591492,0.8661397695541382,110,Tres_clive_2652544611813020950.json,org_dtl_3.py
138,14.876439094543457,0.8714305758476257,0.9086526036262512,0.00048,0.8695635795593262,0.8669594526290894,70,Tres_clive_6282373354032043455.json,org_convnext_tiny_3.py
94,17.600988388061523,0.869654655456543,0.8984569311141968,0.00069,0.8683928847312927,0.8645137548446655,149,Tres_clive_308567719885243119.json,org_nb_f_3.py
67,7.06473970413208,0.8674660325050354,0.8937343955039978,0.00112,0.8670827746391296,0.8659803867340088,160,Tres_clive_2132439253949894371.json,org_best_v2_1.py
63,7.4710283279418945,0.8663551211357117,0.8841261267662048,0.00146,0.8642585277557373,0.8625926375389099,280,Tres_clive_1720333705396475587.json,org_best_1.py
18,17.2020263671875,0.865820050239563,0.8908756971359253,0.00167,0.8618384599685669,0.858863353729248,230,Tres_clive_1223179714270667877.json,org_maexdtl.py
5,19.29521369934082,0.8657090663909912,0.8822453022003174,0.00172,0.8628004193305969,0.8607161641120911,120,Tres_clive_5533553208952190615.json,org_maexdtl_effnet_lr8e5.py
112,7.539992332458496,0.8653979301452637,0.8814614415168762,0.00187,0.8653931617736816,0.8613061904907227,20,Tres_clive_6723545518945452592.json,combineBests_ffn64_effnet4.py
26,7.910050868988037,0.8643476963043213,0.8790849447250366,0.00249,0.8620613813400269,0.8569223880767822,90,Tres_clive_1637528040544762439.json,combineBests_ffn64_effnet4_lr6e-5.py
107,16.066112518310547,0.8634635210037231,0.8823965191841125,0.00322,0.86141437292099,0.8588538765907288,290,Tres_clive_8680866195176616523.json,org_effnet_2.py
45,17.83797836303711,0.863262414932251,0.9043191075325012,0.00342,0.8619608283042908,0.8606117963790894,250,Tres_clive_2065802835909680322.json,org_effnet_3.py
30,8.057347297668457,0.8620006442070007,0.8739528059959412,0.00512,0.8610092997550964,0.8550354242324829,149,Tres_clive_3808081932264751545.json,combineBests_ffn64_effnet4_lr6e-5_freeze80.py
35,7.373548984527588,0.8613792657852173,0.8917140364646912,0.00633,0.8554623126983643,0.8534075021743774,149,Tres_clive_1946451168681309741.json,lastGood_var2_adamw.py
99,14.123649597167969,0.8612663745880127,0.8821805119514465,0.00658,0.8573141694068909,0.8441417217254639,30,Tres_clive_2133341204384094426.json,org_dml_5.py
126,14.972282409667969,0.8611629605293274,0.8820686340332031,0.00683,0.8585512638092041,0.8558360934257507,50,Tres_clive_1275536922666524941.json,org_convnext_tiny_5.py
100,7.473976135253906,0.8609817624092102,0.8886151909828186,0.00729,0.8540070652961731,0.8509618043899536,90,Tres_clive_1411240645485942859.json,lastGood_var2_maeXdmrl_w1_a2.py
86,16.550687789916992,0.8600966334342957,0.8776683211326599,0.01015,0.8599790334701538,0.8581888675689697,230,Tres_clive_929461763056701491.json,org_effnet_1.py
71,14.880685806274414,0.859972357749939,0.8834857940673828,0.01065,0.8575608134269714,0.8573938608169556,120,Tres_clive_1410257865337165936.json,org_convnext_tiny_1.py
58,16.069114685058594,0.8598974347114563,0.8872300982475281,0.01097,0.8582296371459961,0.8506847620010376,149,Tres_clive_176758629169885257.json,org_l2poolPaper3.py
60,7.288440704345703,0.8596574068069458,0.884880781173706,0.01207,0.8546113967895508,0.8536237478256226,110,Tres_clive_1487031744987555609.json,lastGood_var2_maeXdtl_w1.py
82,17.47501564025879,0.8591944575309753,0.8892880082130432,0.01459,0.8569925427436829,0.8549917936325073,280,Tres_clive_1062855308850142074.json,org_dml_1.py
9,52.295997619628906,0.8587049245834351,0.8676905632019043,0.01798,0.8539206981658936,0.847192645072937,120,Tres_clive_2048686115652199739.json,lastGood_var2_maeXdmrl_w1mae0.py
113,9.763487815856934,0.8586527705192566,0.8705361485481262,0.01840,0.8534094095230103,0.8490995168685913,110,Tres_clive_2406727229371775131.json,lastGood_var2_maeXdmrl_w1_a2_fsort.py
55,19.626558303833008,0.8586062788963318,0.8852946162223816,0.01878,0.8535735011100769,0.8466708660125732,110,Tres_clive_7624784527075628535.json,org_sc02.py
73,7.57767391204834,0.8576604127883911,0.8825764060020447,0.02898,0.8541398644447327,0.851477861404419,140,Tres_clive_6957888157877495039.json,effnet4_adamw.py
11,7.403204917907715,0.8575816750526428,0.8873758316040039,0.03009,0.856776237487793,0.8539397120475769,90,Tres_clive_1789422817545617379.json,lastGood_var2_v4.py
